"Kind","Line","Property","Fallback","Code"
"GetPropertyValueWithDefault","5910","UseDesignColorSchema","true","return !HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true);"
"GetPropertyValueWithDefault","5930","ShowScale","true","return !HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""ShowScale"", defaultValue: true);"
"GetPropertyValueWithDefault","5937","DrawInsideFrame","true","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""DrawInsideFrame"", defaultValue: true);"
"GetPropertyValueWithDefault","5944","ShowTickLabels","true","return !HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""ShowTickLabels"", defaultValue: true);"
"GetPropertyValueWithDefault","5966","Flashing","FlashingType.None","if (HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""Flashing"", FlashingType.None) != FlashingType.None)"
"GetPropertyValueWithDefault","5968","FlashingOnLimitViolation","false","return !HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""FlashingOnLimitViolation"", defaultValue: false);"
"GetPropertyValueWithDefault","5977","FlashingOnLimitViolation","false","bool propertyValueWithDefault = HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""FlashingOnLimitViolation"", defaultValue: false);"
"GetPropertyValueWithDefault","5978","Flashing","FlashingType.None","if (!(!flag && HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""Flashing"", FlashingType.None) == FlashingType.None && propertyValueWithDefault))"
"GetPropertyValueWithDefault","6002","UseAutoScaling","true","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseAutoScaling"", defaultValue: true);"
"GetPropertyValueWithDefault","6007","UseAutoScaling","true","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseAutoScaling"", defaultValue: true);"
"GetPropertyValueWithDefault","6012","UseAutoScaling","true","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseAutoScaling"", defaultValue: true);"
"GetPropertyValueWithDefault","6058","UseDesignColorSchema","true","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true);"
"GetPropertyValueWithDefault","6072","UseDesignColorSchema","true","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true);"
"GetPropertyValueWithDefault","6084","UseDesignColorSchema","true","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true);"
"GetPropertyValueWithDefault","6096","UseDesignColorSchema","true","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true);"
"GetPropertyValueWithDefault","6105","EdgeStyle","LineStyle.Solid","return (!num && HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""EdgeStyle"", LineStyle.Solid) != LineStyle.Solid) || flag;"
"GetPropertyValueWithDefault","6124","BorderWidth","1","if (HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""BorderWidth"", 1) > 1 && flag)"
"GetPropertyValueWithDefault","6181","ShowLimitRanges","false","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""ShowLimitRanges"", defaultValue: false);"
"GetPropertyValueWithDefault","6188","ShowLimitRanges","false","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""ShowLimitRanges"", defaultValue: false);"
"GetPropertyValueWithDefault","6195","ShowLimitRanges","false","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""ShowLimitRanges"", defaultValue: false);"
"GetPropertyValueWithDefault","7676","UseDesignColorSchema","true","return !HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true);"
"GetPropertyValueWithDefault","7815","StyleSettings","WinCCStyle.GlobalDesign","WinCCStyle propertyValueWithDefault = HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""StyleSettings"", WinCCStyle.GlobalDesign);"
"GetPropertyValueWithDefault","7816","UseDesignColorSchema","true","bool flag2 = num && HmiScreenItem.IsThemingEnabled(hmiScreenItem) && HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true);"
