"GraphXType","Method","Kind","ValueType","Property","Fallback","File","Line","Code"
"EdgeStylePhaseConverter","ConvertBarBorderStyle3D","GetScreenItemPropertyOrDefault","LineStyle","BarEdgeStyle","LineStyle.Solid","EdgeStylePhaseConverter.cs","540","LineStyle screenItemPropertyOrDefault2 = PhaseConverter.GetScreenItemPropertyOrDefault<LineStyle>(screenItemExpandoAttributes, ""BarEdgeStyle"", LineStyle.Solid);"
"EdgeStylePhaseConverter","ConvertTextFieldBorderStyle3DOldPanels","GetScreenItemPropertyOrDefault","bool","BorderStyle3D","false","EdgeStylePhaseConverter.cs","175","bool screenItemPropertyOrDefault = PhaseConverter.GetScreenItemPropertyOrDefault<bool>(screenItemExpandoAttributes, ""BorderStyle3D"", false);"
"EdgeStylePhaseConverter","ConvertGraphicViewBorderStyle3DOldPanels","GetScreenItemPropertyOrDefault","bool","BorderStyle3D","false","EdgeStylePhaseConverter.cs","362","bool screenItemPropertyOrDefault = PhaseConverter.GetScreenItemPropertyOrDefault<bool>(screenItemExpandoAttributes, ""BorderStyle3D"", false);"
"EdgeStylePhaseConverter","ConvertGraphicIoFieldBorderStyle3DOldPanels","GetScreenItemPropertyOrDefault","bool","BorderStyle3D","false","EdgeStylePhaseConverter.cs","417","bool screenItemPropertyOrDefault = PhaseConverter.GetScreenItemPropertyOrDefault<bool>(screenItemExpandoAttributes, ""BorderStyle3D"", false);"
"EdgeStylePhaseConverter","ConvertDateTimeFieldOrIoFieldBorderStyle3DOldPanels","GetScreenItemPropertyOrDefault","bool","BorderStyle3D","false","EdgeStylePhaseConverter.cs","464","bool screenItemPropertyOrDefault = PhaseConverter.GetScreenItemPropertyOrDefault<bool>(screenItemExpandoAttributes, ""BorderStyle3D"", false);"
"EdgeStylePhaseConverter","ConvertBarBorderStyle3D","GetScreenItemPropertyOrDefault","bool","BorderStyle3D","false","EdgeStylePhaseConverter.cs","539","bool screenItemPropertyOrDefault = PhaseConverter.GetScreenItemPropertyOrDefault<bool>(screenItemExpandoAttributes, ""BorderStyle3D"", false);"
"EdgeStylePhaseConverter","ConvertSwitchBorderStyle3DOldPanels","GetScreenItemPropertyOrDefault","bool","BorderStyle3D","true","EdgeStylePhaseConverter.cs","137","bool screenItemPropertyOrDefault = PhaseConverter.GetScreenItemPropertyOrDefault<bool>(screenItemExpandoAttributes, ""BorderStyle3D"", true);"
"EdgeStylePhaseConverter","GetSymbolicIoFieldConvertProperties","GetScreenItemPropertyOrDefault","bool","BorderStyle3D","true","EdgeStylePhaseConverter.cs","331","BorderStyle3D = PhaseConverter.GetScreenItemPropertyOrDefault<bool>(screenItemExpandoAttributes, ""BorderStyle3D"", true),"
"EdgeStylePhaseConverter","ConvertButtonBorderStyle3D","GetScreenItemPropertyOrDefault","bool","BorderStyle3D","true","EdgeStylePhaseConverter.cs","528","if (PhaseConverter.GetScreenItemPropertyOrDefault<bool>(screenItemExpandoAttributes, ""BorderStyle3D"", true))"
"EdgeStylePhaseConverter","ConvertGraphicViewBorderStyle3DOldPanels","GetScreenItemPropertyOrDefault","int","BorderWidth","0","EdgeStylePhaseConverter.cs","363","int screenItemPropertyOrDefault2 = PhaseConverter.GetScreenItemPropertyOrDefault<int>(screenItemExpandoAttributes, ""BorderWidth"", 0);"
"EdgeStylePhaseConverter","ConvertTextFieldBorderStyle3DOldPanels","GetScreenItemPropertyOrDefault","int","BorderWidth","1","EdgeStylePhaseConverter.cs","176","int screenItemPropertyOrDefault2 = PhaseConverter.GetScreenItemPropertyOrDefault<int>(screenItemExpandoAttributes, ""BorderWidth"", 1);"
"EdgeStylePhaseConverter","GetSymbolicIoFieldConvertProperties","GetScreenItemPropertyOrDefault","int","BorderWidth","1","EdgeStylePhaseConverter.cs","335","BorderWidth = PhaseConverter.GetScreenItemPropertyOrDefault<int>(screenItemExpandoAttributes, ""BorderWidth"", 1)"
"EdgeStylePhaseConverter","ConvertGraphicIoFieldBorderStyle3DOldPanels","GetScreenItemPropertyOrDefault","int","BorderWidth","1","EdgeStylePhaseConverter.cs","437","if (PhaseConverter.GetScreenItemPropertyOrDefault<int>(screenItemExpandoAttributes, ""BorderWidth"", 1) < 1)"
"EdgeStylePhaseConverter","ConvertDateTimeFieldBorderStyle3DReportOnNewPanel","GetScreenItemPropertyOrDefault","int","BorderWidth","1","EdgeStylePhaseConverter.cs","506","int screenItemPropertyOrDefault = PhaseConverter.GetScreenItemPropertyOrDefault<int>(screenItemExpandoAttributes, ""BorderWidth"", 1);"
"EdgeStylePhaseConverter","ConvertPageNumberEdgeStyle","GetScreenItemPropertyOrDefault","LineStyle","EdgeStyle","LineStyle.None","EdgeStylePhaseConverter.cs","115","if (PhaseConverter.GetScreenItemPropertyOrDefault<LineStyle>(screenItemExpandoAttributes, ""EdgeStyle"", LineStyle.None) == LineStyle.Solid)"
"EdgeStylePhaseConverter","ConvertTextFieldBorderStyle3D","GetScreenItemPropertyOrDefault","LineStyle","EdgeStyle","LineStyle.None","EdgeStylePhaseConverter.cs","163","LineStyle screenItemPropertyOrDefault = PhaseConverter.GetScreenItemPropertyOrDefault<LineStyle>(screenItemExpandoAttributes, ""EdgeStyle"", LineStyle.None);"
"EdgeStylePhaseConverter","ConvertGraphicViewBorderStyle3D","GetScreenItemPropertyOrDefault","LineStyle","EdgeStyle","LineStyle.None","EdgeStylePhaseConverter.cs","350","LineStyle screenItemPropertyOrDefault = PhaseConverter.GetScreenItemPropertyOrDefault<LineStyle>(screenItemExpandoAttributes, ""EdgeStyle"", LineStyle.None);"
"EdgeStylePhaseConverter","ConvertGraphicIoFieldBorderStyle3D","GetScreenItemPropertyOrDefault","LineStyle","EdgeStyle","LineStyle.None","EdgeStylePhaseConverter.cs","405","LineStyle screenItemPropertyOrDefault = PhaseConverter.GetScreenItemPropertyOrDefault<LineStyle>(screenItemExpandoAttributes, ""EdgeStyle"", LineStyle.None);"
"EdgeStylePhaseConverter","ConvertIoFieldBorderStyle3D","GetScreenItemPropertyOrDefault","LineStyle","EdgeStyle","LineStyle.None","EdgeStylePhaseConverter.cs","452","LineStyle screenItemPropertyOrDefault = PhaseConverter.GetScreenItemPropertyOrDefault<LineStyle>(screenItemExpandoAttributes, ""EdgeStyle"", LineStyle.None);"
